Abbrev.	Name	Index	FBbt
AME	accessory medulla	2	FBbt_00045003
LO	lobula	3	FBbt_00003852
NO	nodulus	4	FBbt_00003680
BU	bulb	5	FBbt_00003682
PB	protocerebral bridge	6	FBbt_00003668
LH	lateral horn	7	FBbt_00007053
LAL	lateral accessory lobe	8	FBbt_00003681
SAD	saddle	9	FBbt_00045048
CAN	cantle	10	FBbt_00045051
AMMC	antennal mechanosensory and motor center	11	FBbt_00003982
ICL	inferior clamp	12	FBbt_00040049
VES	vest	13	FBbt_00040041
IB	inferior bridge	14	FBbt_00040050
ATL	antler	15	FBbt_00045039
CRE	crepine	16	FBbt_00045037
MB_PED	pedunculus of adult mushroom body	17	FBbt_00007453
MB_VL	vertical lobe of adult mushroom body	18	FBbt_00015407
MB_ML	medial lobe of adult mushroom body	19	FBbt_00007677
FLA	flange	20	FBbt_00045050
LOP	lobula plate	22	FBbt_00003885
EB	ellipsoid body	23	FBbt_00003678
AL	adult antennal lobe	24	FBbt_00007401
ME	medulla	25	FBbt_00003748
FB	fan-shaped body	26	FBbt_00003679
SLP	superior lateral protocerebrum	27	FBbt_00007054
SIP	superior intermediate protocerebrum	28	FBbt_00045032
SMP	superior medial protocerebrum	29	FBbt_00007055
AVLP	anterior ventrolateral protocerebrum	30	FBbt_00040043
PVLP	posterior ventrolateral protocerebrum	31	FBbt_00040042
IVLP	wedge	32	FBbt_00045027
PLP	posterior lateral protocerebrum	33	FBbt_00040044
AOTU	anterior optic tubercle	34	FBbt_00007059
GOR	gorget	35	FBbt_00040039
MB_CA	calyx of adult mushroom body	36	FBbt_00007385
SPS	superior posterior slope	37	FBbt_00045040
IPS	inferior posterior slope	38	FBbt_00045046
SCL	superior clamp	39	FBbt_00040048
EPA	epaulette	40	FBbt_00040040
GNG	adult gnathal ganglion	49	FBbt_00014013
PRW	prow	50	FBbt_00040051
GA	gall	51	FBbt_00040060
CRG	adult cerebral ganglion	101	FBbt_00110636
CX	adult central complex	103	FBbt_00003632
CB	central body	111	FBbt_00045020
MB	adult mushroom body	104	FBbt_00003684
	lobe system of adult mushroom body	112	FBbt_00013688
INP	inferior neuropils	105	FBbt_00040037
CL	clamp	113	FBbt_00040047
LX	lateral complex	106	FBbt_00040001
OL	optic lobe	107	FBbt_00003701
LOX	lobula complex	114	FBbt_00045004
SNP	superior neuropils	108	FBbt_00045030
VLNP	ventrolateral neuropils	109	FBbt_00045021
VLP	ventrolateral protocerebrum	115	FBbt_00007058
VMNP	ventromedial neuropils	110	FBbt_00040002
PS	posterior slope	116	FBbt_00040072
VX	ventral complex	117	FBbt_00040071
SEZ	adult subesophageal zone	102	FBbt_00110639
